dataset,comparison,LPIPS
coco_val2017,base,0.619323
coco_val2017,base,0.476394
coco_val2017,base,0.033128
coco_val2017,base,0.278819
coco_val2017,base,0.028890
coco_val2017,base,0.556336
coco_val2017,base,0.667512
coco_val2017,base,0.292205
coco_val2017,base,0.025721
coco_val2017,base,0.346810
coco_val2017,base,0.218245
coco_val2017,base,0.669154
coco_val2017,base,0.322799
coco_val2017,base,0.185571
coco_val2017,base,0.690276
coco_val2017,base,0.332029
coco_val2017,base,0.003858
coco_val2017,base,0.625859
coco_val2017,base,0.742204
coco_val2017,base,0.239593
coco_val2017,base,0.024364
coco_val2017,base,0.642854
coco_val2017,base,0.013520
coco_val2017,base,0.016651
coco_val2017,base,0.185759
coco_val2017,base,0.213771
coco_val2017,base,0.476171
coco_val2017,base,0.342918
coco_val2017,base,0.691242
coco_val2017,base,0.488452
coco_val2017,base,0.277084
coco_val2017,base,0.329498
coco_val2017,base,0.281056
coco_val2017,base,0.149037
coco_val2017,base,0.020570
coco_val2017,base,0.248381
coco_val2017,base,0.293751
coco_val2017,base,0.217974
coco_val2017,base,0.275940
coco_val2017,base,0.009238
coco_val2017,base,0.340348
coco_val2017,base,0.415901
coco_val2017,base,0.004462
coco_val2017,base,0.017496
coco_val2017,base,0.026385
coco_val2017,base,0.728203
coco_val2017,base,0.634284
coco_val2017,base,0.429872
coco_val2017,base,0.539894
coco_val2017,base,0.162583
coco_val2017,base,0.275065
coco_val2017,base,0.609966
coco_val2017,base,0.475627
coco_val2017,base,0.219335
coco_val2017,base,0.581230
coco_val2017,base,0.268238
coco_val2017,base,0.583873
coco_val2017,base,0.015314
coco_val2017,base,0.030294
coco_val2017,base,0.015606
coco_val2017,base,0.033740
coco_val2017,base,0.330121
coco_val2017,base,0.009599
coco_val2017,base,0.336370
coco_val2017,base,0.181164
coco_val2017,base,0.358386
coco_val2017,base,0.027284
coco_val2017,base,0.583818
coco_val2017,base,0.255606
coco_val2017,base,0.276579
coco_val2017,base,0.251262
coco_val2017,base,0.600017
coco_val2017,base,0.532245
coco_val2017,base,0.659890
coco_val2017,base,0.558440
coco_val2017,base,0.023481
coco_val2017,base,0.295616
coco_val2017,base,0.269496
coco_val2017,base,0.470539
coco_val2017,base,0.399791
coco_val2017,base,0.626635
coco_val2017,base,0.433463
coco_val2017,base,0.018523
coco_val2017,base,0.790171
coco_val2017,base,0.303429
coco_val2017,base,0.792226
coco_val2017,base,0.342858
coco_val2017,base,0.023197
coco_val2017,base,0.573796
coco_val2017,base,0.009814
coco_val2017,base,0.691443
coco_val2017,base,0.225566
coco_val2017,base,0.624253
coco_val2017,base,0.279331
coco_val2017,base,0.530748
coco_val2017,base,0.337383
coco_val2017,base,0.671216
coco_val2017,base,0.257286
coco_val2017,base,0.493567
coco_val2017,base,0.294035
coco_val2017,base,0.011458
coco_val2017,base,0.252115
coco_val2017,base,0.016378
coco_val2017,base,0.337735
coco_val2017,base,0.308392
coco_val2017,base,0.727617
coco_val2017,base,0.274969
coco_val2017,base,0.007123
coco_val2017,base,0.292890
coco_val2017,base,0.366828
coco_val2017,base,0.577225
coco_val2017,base,0.028298
coco_val2017,base,0.320246
coco_val2017,base,0.221332
coco_val2017,base,0.019513
coco_val2017,base,0.309094
coco_val2017,base,0.010981
coco_val2017,base,0.152572
coco_val2017,base,0.020903
coco_val2017,base,0.025460
coco_val2017,base,0.687859
coco_val2017,base,0.542026
coco_val2017,base,0.597809
coco_val2017,base,0.450909
coco_val2017,base,0.630169
coco_val2017,base,0.279203
coco_val2017,base,0.013718
coco_val2017,base,0.382453
coco_val2017,base,0.299011
coco_val2017,base,0.164187
coco_val2017,base,0.520658
coco_val2017,base,0.329463
coco_val2017,base,0.565318
coco_val2017,base,0.707505
coco_val2017,base,0.025537
coco_val2017,base,0.014463
coco_val2017,base,0.274300
coco_val2017,base,0.386518
coco_val2017,base,0.024826
coco_val2017,base,0.352473
coco_val2017,base,0.260084
coco_val2017,base,0.351881
coco_val2017,base,0.209707
coco_val2017,base,0.006613
coco_val2017,base,0.024751
coco_val2017,base,0.283318
coco_val2017,base,0.571084
coco_val2017,base,0.529449
coco_val2017,base,0.630527
coco_val2017,base,0.011980
coco_val2017,base,0.150869
coco_val2017,base,0.618697
coco_val2017,base,0.288037
coco_val2017,base,0.574441
coco_val2017,base,0.015326
coco_val2017,base,0.400738
coco_val2017,base,0.031146
coco_val2017,base,0.656969
coco_val2017,base,0.210590
coco_val2017,base,0.274023
coco_val2017,base,0.581862
coco_val2017,base,0.334953
coco_val2017,base,0.304207
coco_val2017,base,0.637342
